"Column1","Тип квартиры","м^2","Этаж","Этажей в доме","Адресс","Станция метро","Окна во двор","Окна на улицу","Окна на солнечную сторону","Новостройка","Цена квартиры","Цена за м^2"
"2940","1-к. квартира","32,4 м²","25","33 эт.","б-р Кронштадтский, д. 14","Водный стадион","1","0","0","1","11253427","347 328 ₽ за м²"
"2941","Квартира-студия","19,9 м²","5","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","6323583","317 768 ₽ за м²"
"2942","4-к. квартира","115,6 м²","9","12 эт.","жилой комплекс Барклая 6, к3","Багратионовская","1","0","0","1","35612198","308 064 ₽ за м²"
"2943","1-к. квартира","39,3 м²","3","24 эт.","ул. Римского-Корсакова, жилой дом","Отрадное","1","0","0","1","9266940","235 800 ₽ за м²"
"2944","2-к. квартира","36 м²","19","24 эт.","ул. Римского-Корсакова, жилой дом","Отрадное","1","0","0","1","8686440","241 290 ₽ за м²"
"2945","3-к. квартира","72,2 м²","4","33 эт.","жилой комплекс Открытый Парк, к1/2","Бульвар Рокоссовского","1","0","0","1","15438959","213 836 ₽ за м²"
"2946","Квартира-студия","26,4 м²","20","32 эт.","Кронштадтский бульвар, корп. 1/4","Водный стадион","1","0","0","1","9764092","369 852 ₽ за м²"
"2947","Квартира-студия","20 м²","16","33 эт.","ш. Алтуфьевское, стр. 2.1","Бибирево","1","0","0","1","5477400","273 870 ₽ за м²"
"2948","1-к. квартира","35,5 м²","5","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","1","0","0","1","10657100","300 200 ₽ за м²"
"2949","Квартира-студия","20,2 м²","15","17 эт.","жилой комплекс Волжский Парк, корп. 1","Текстильщики","1","0","0","1","5992612","296 664 ₽ за м²"
"2950","2-к. квартира","59,3 м²","2","33 эт.","Сигнальный проезд, вл. 16","Владыкино","1","0","0","1","13970131","235 584 ₽ за м²"
"2951","2-к. квартира","34,4 м²","13","33 эт.","ш. Алтуфьевское, стр. 2.1","Бибирево","1","0","0","1","7851456","228 240 ₽ за м²"
"2952","Апартаменты-студия","29 м²","15","21 эт.","улица Сокольнический Вал, 1к2","Рижская","1","0","0","1","7482870","258 030 ₽ за м²"
"2953","Квартира-студия","19,9 м²","31","33 эт.","Кавказский б-р, корп. 1.5-1.6","Кантемировская","1","0","0","1","5805745","291 746 ₽ за м²"
"2954","1-к. квартира","41,5 м²","5","14 эт.","пос. Филимонковское, дер. Середнево, кв-л 25, ЖК «Середневский лес»","рн Филимонковское","1","0","0","1","7216850","173 900 ₽ за м²"
"2955","Квартира-студия","19,9 м²","5","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","6431600","323 196 ₽ за м²"
"2956","Квартира-студия","20,1 м²","11","38 эт.","1-й Дубровский проезд, вл. 78/14","Волгоградский проспект","1","0","0","1","7370991","366 716 ₽ за м²"
"2957","1-к. апартаменты","31,7 м²","11","21 эт.","улица Сокольнический Вал, 1к2","Рижская","1","0","0","1","8413497","265 410 ₽ за м²"
"2958","2-к. квартира","34,3 м²","12","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","1","0","0","1","11089190","323 300 ₽ за м²"
"2959","3-к. квартира","49,2 м²","16","24 эт.","ул. Кольская, д. 8, корп. 2","Свиблово","1","0","0","1","15231434","309 582 ₽ за м²"
"2960","3-к. квартира","83,6 м²","22","33 эт.","ш. Алтуфьевское, стр. 2.1","Бибирево","1","0","0","1","16710804","199 890 ₽ за м²"
"2961","1-к. квартира","32,2 м²","37","38 эт.","1-й Дубровский проезд, вл. 78/14","Волгоградский проспект","1","0","0","1","10653457","330 853 ₽ за м²"
"2962","1-к. квартира","36,1 м²","14","17 эт.","жилой комплекс Открытый Парк, к1/3","Бульвар Рокоссовского","1","0","0","1","8717139","241 472 ₽ за м²"
