"Column1","Тип квартиры","м^2","Этаж","Этажей в доме","Адресс","Станция метро","Окна во двор","Окна на улицу","Окна на солнечную сторону","Новостройка","Цена квартиры","Цена за м^2"
"878","1-к. квартира","33,6 м²","6","33 эт.","ш. Алтуфьевское, стр. 2.1","Бибирево","0","1","0","1","7817040","232 650 ₽ за м²"
"879","1-к. квартира","35,5 м²","26","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","0","1","0","1","11005000","310 000 ₽ за м²"
"880","2-к. квартира","49,2 м²","4","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","0","1","0","1","15512760","315 300 ₽ за м²"
"881","Квартира-студия","25 м²","7","8 эт.","пр-т Волгоградский, вл. 32/5","Угрешская","0","1","0","1","9300000","372 000 ₽ за м²"
"882","Квартира-студия","19,8 м²","26","33 эт.","Сигнальный проезд, вл. 16","Владыкино","0","1","0","1","6285945","317 472 ₽ за м²"
"883","2-к. квартира","41,8 м²","2","22 эт.","п. Внуковское, ул. Анны Ахматовой, стр. 1","Рассказовка","0","1","0","1","9650000","230 861 ₽ за м²"
"884","1-к. квартира","35,4 м²","30","32 эт.","ул. Газгольдерная, вл. 8","Нижегородская","0","1","0","1","10500000","296 610 ₽ за м²"
"885","3-к. квартира","73,3 м²","2","20 эт.","ул. Большая Филёвская, д. 3, корп. 3","Фили","0","1","0","1","25821244","352 268 ₽ за м²"
"886","3-к. квартира","72,1 м²","25","33 эт.","пр-д Стройкомбината, ЖК «Новое Очаково»","Озёрная","0","1","0","1","16252205","225 412 ₽ за м²"
"887","1-к. квартира","36,1 м²","3","17 эт.","ш. Открытое, вл. 18/1","Бульвар Рокоссовского","0","1","0","1","10129948","280 608 ₽ за м²"
"888","3-к. квартира","78,9 м²","13","52 эт.","ул. Минская, стр. 2","Раменки","0","1","0","1","22500000","285 171 ₽ за м²"
"889","2-к. квартира","48,6 м²","4","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","0","1","0","1","14735520","303 200 ₽ за м²"
"890","Квартира-студия","28 м²","11","29 эт.","Варшавское ш., д. 37А/1","Нагатинская","0","1","0","1","12700000","453 571 ₽ за м²"
"891","2-к. квартира","32,5 м²","16","33 эт.","ш. Перовское, уч. 2","Нижегородская","0","1","0","1","9088235","279 638 ₽ за м²"
"892","2-к. квартира","48,6 м²","15","17 эт.","ул. Люблинская, жилые дома","Братиславская","0","1","0","1","10046786","206 724 ₽ за м²"
"893","1-к. квартира","38,9 м²","12","14 эт.","Березовая ал./ул. Сельскохозяйственная/Олонецкая, жилые дома","Ботанический сад","0","1","0","1","13637450","350 577 ₽ за м²"
"894","2-к. квартира","64,2 м²","15","19 эт.","жилой комплекс Митинский Лес, жилые дома","Пятницкое шоссе","0","1","0","1","11623795","181 056 ₽ за м²"
"895","2-к. квартира","33,8 м²","6","25 эт.","жилой комплекс Люблинский Парк, корп. 15","Братиславская","0","1","0","1","8209344","242 880 ₽ за м²"
"896","2-к. квартира","46,2 м²","21","28 эт.","ЖК «Амурский парк», жилые дома","Локомотив","0","1","0","1","11838472","256 244 ₽ за м²"
"897","1-к. квартира","36,2 м²","2","14 эт.","ул. Руставели, ЖК «Руставели 14»","Бутырская","0","1","0","1","11191809","309 166 ₽ за м²"
"898","1-к. квартира","35,1 м²","4","32 эт.","ул. Полярная, ЖК «Полар»","Медведково","0","1","0","1","8508942","242 420 ₽ за м²"
"899","1-к. квартира","40,6 м²","23","30 эт.","пр-т Волгоградский, д. 32/5, корп. 1","Волгоградский проспект","0","1","0","1","13600000","334 975 ₽ за м²"
"900","3-к. квартира","83,7 м²","14","14 эт.","ул. Руставели, ЖК «Руставели 14»","Бутырская","0","1","0","1","22808752","272 506 ₽ за м²"
"901","2-к. квартира","50,6 м²","9","21 эт.","ул. Озёрная, ЖК «Мичуринский парк»","Озёрная","0","1","0","1","14208480","280 800 ₽ за м²"
"902","Квартира-студия","23,7 м²","10","33 эт.","Сигнальный проезд, вл. 16","Владыкино","0","1","0","1","6529824","275 520 ₽ за м²"
"903","2-к. квартира","48,3 м²","6","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","0","1","0","1","14639730","303 100 ₽ за м²"
"904","Квартира-студия","23,8 м²","14","14 эт.","пос. Филимонковское, дер. Середнево, кв-л 25, ЖК «Середневский лес»","рн Филимонковское","0","1","0","1","4836826","203 228 ₽ за м²"
"905","2-к. квартира","64,2 м²","6","19 эт.","жилой комплекс Митинский Лес, жилые дома","Пятницкое шоссе","0","1","0","1","11470228","178 664 ₽ за м²"
"906","1-к. квартира","35,9 м²","24","33 эт.","Сигнальный проезд, вл. 16","Владыкино","0","1","0","1","9353529","260 544 ₽ за м²"
"907","Квартира-студия","19,8 м²","9","17 эт.","жилой комплекс Открытый Парк, к1/3","Бульвар Рокоссовского","0","1","0","1","5780451","291 942 ₽ за м²"
"908","Квартира-студия","20,1 м²","24","33 эт.","ш. Алтуфьевское, стр. 2.1","Бибирево","0","1","0","1","5517450","274 500 ₽ за м²"
"909","Апартаменты-студия","23,6 м²","21","21 эт.","улица Сокольнический Вал, 1к1","Рижская","0","1","0","1","6926364","293 490 ₽ за м²"
"910","3-к. квартира","89,1 м²","12","25 эт.","рп. Дрожжино, территория Бутово Парк 2, корп. 26","Улица Скобелевская","0","1","0","1","12881721","144 576 ₽ за м²"
"911","2-к. квартира","64,6 м²","2","24 эт.","жилой комплекс Барклая 6, к5","Багратионовская","0","1","0","1","19640467","304 032 ₽ за м²"
"912","1-к. квартира","32,6 м²","7","14 эт.","ул. Саларьевская, жилые дома","Саларьево","0","1","0","1","8043854","246 744 ₽ за м²"
"913","2-к. апартаменты","51,8 м²","13","21 эт.","улица Сокольнический Вал, 1к2","Рижская","0","1","0","1","12298356","237 420 ₽ за м²"
"914","2-к. квартира","58,6 м²","26","33 эт.","пр-д Стройкомбината, ЖК «Новое Очаково»","Озёрная","0","1","0","1","14024386","239 324 ₽ за м²"
"915","1-к. квартира","32,7 м²","13","33 эт.","ш. Алтуфьевское, стр. 2.1","Бибирево","0","1","0","1","7666515","234 450 ₽ за м²"
"916","1-к. квартира","35,4 м²","11","25 эт.","г. Зеленоград, Георгиевский пр-т, ЖК «Зелёный парк»","","0","1","0","1","7635709","215 698 ₽ за м²"
"917","2-к. квартира","46,3 м²","8","33 эт.","ул. Люблинская, жилые дома","Братиславская","0","1","0","1","9907829","213 992 ₽ за м²"
"918","3-к. квартира","100,8 м²","17","23 эт.","2-й Котляковский пер., д. 4, корп. 1","Варшавская","0","1","0","1","25999000","257 927 ₽ за м²"
"919","2-к. квартира","32,5 м²","13","24 эт.","жилой комплекс Волжский Парк, корп. 1","Текстильщики","0","1","0","1","8657870","266 396 ₽ за м²"
"920","1-к. квартира","43,7 м²","9","14 эт.","ул. Саларьевская, жилые дома","Саларьево","0","1","0","1","10316346","236 072 ₽ за м²"
"921","2-к. квартира","52,7 м²","20","33 эт.","жилой комплекс Матвеевский Парк, к1.1","Аминьевская","0","1","0","1","15989601","303 408 ₽ за м²"
"922","3-к. квартира","83,6 м²","2","15 эт.","рп. Дрожжино, территория Бутово Парк 2, корп. 26","Улица Скобелевская","0","1","0","1","11227814","134 304 ₽ за м²"
"923","1-к. квартира","32,2 м²","8","33 эт.","Сигнальный проезд, вл. 16","Владыкино","0","1","0","1","8729548","271 104 ₽ за м²"
"924","2-к. квартира","51,2 м²","10","33 эт.","б-р Кронштадтский, д. 14","Водный стадион","0","1","0","1","15315763","299 136 ₽ за м²"
"925","Квартира-студия","20,1 м²","23","33 эт.","ш. Алтуфьевское, стр. 2.1","Бибирево","0","1","0","1","5517450","274 500 ₽ за м²"
"926","2-к. квартира","62,5 м²","27","33 эт.","пр-д Стройкомбината, ЖК «Новое Очаково»","Озёрная","0","1","0","1","14411375","230 582 ₽ за м²"
"927","3-к. квартира","73,4 м²","13","17 эт.","ул. Николая Химушина, ЖК «Открытый парк»","Бульвар Рокоссовского","0","1","0","1","15997676","217 952 ₽ за м²"
"928","Квартира-студия","22 м²","13","20 эт.","Ижорская ул., вл. 6","Ховрино","0","1","0","1","6044544","274 752 ₽ за м²"
"929","1-к. квартира","42,3 м²","4","33 эт.","ЖК «Амурский парк», жилые дома","Локомотив","0","1","0","1","10139310","239 700 ₽ за м²"
"930","3-к. квартира","79,8 м²","5","18 эт.","ул. Саларьевская, жилые дома","Саларьево","0","1","0","1","14668516","183 816 ₽ за м²"
"931","2-к. квартира","63,4 м²","26","33 эт.","Сигнальный проезд, вл. 16","Владыкино","0","1","0","1","14436940","227 712 ₽ за м²"
"932","2-к. квартира","48,5 м²","9","33 эт.","ул. Люблинская, жилые дома","Братиславская","0","1","0","1","10173360","209 760 ₽ за м²"
"933","1-к. квартира","32,2 м²","5","14 эт.","ул. Саларьевская, жилые дома","Саларьево","0","1","0","1","7980705","247 848 ₽ за м²"
"934","2-к. квартира","32,5 м²","15","33 эт.","ш. Перовское, уч. 2","Нижегородская","0","1","0","1","9202300","283 148 ₽ за м²"
"935","2-к. квартира","51,7 м²","7","33 эт.","ш. Открытое, вл. 18/1","Бульвар Рокоссовского","0","1","0","1","13400640","259 200 ₽ за м²"
"936","3-к. квартира","79 м²","5","17 эт.","пос. Коммунарка, жилой комплекс Бунинские Луга, корп. 3.7.2","Коммунарка","0","1","0","1","15577536","197 184 ₽ за м²"
"937","1-к. квартира","42,9 м²","3","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","0","1","0","1","13449150","313 500 ₽ за м²"
"938","Квартира-студия","25,4 м²","9","25 эт.","ул. Кольская, д. 8, корп. 2","Свиблово","0","1","0","1","8246719","324 674 ₽ за м²"
"939","Квартира-студия","20,2 м²","33","33 эт.","пр-д Стройкомбината, ЖК «Новое Очаково»","Озёрная","0","1","0","1","6281230","310 952 ₽ за м²"
"940","Квартира-студия","19,9 м²","26","33 эт.","жилой комплекс Открытый Парк, к1/4","Бульвар Рокоссовского","0","1","0","1","5723837","287 630 ₽ за м²"
"941","2-к. квартира","63,4 м²","21","33 эт.","Сигнальный проезд, вл. 16","Владыкино","0","1","0","1","14406508","227 232 ₽ за м²"
"942","2-к. квартира","63 м²","2","19 эт.","жилой комплекс Митинский Лес, жилые дома","Пятницкое шоссе","0","1","0","1","11029788","175 076 ₽ за м²"
"943","2-к. квартира","45,6 м²","37","38 эт.","1-й Дубровский проезд, вл. 78/14","Волгоградский проспект","0","1","0","1","13869727","304 161 ₽ за м²"
"944","3-к. квартира","89,1 м²","20","25 эт.","рп. Дрожжино, территория Бутово Парк 2, корп. 26","Улица Скобелевская","0","1","0","1","12941596","145 248 ₽ за м²"
"945","2-к. квартира","48,5 м²","15","33 эт.","ул. Люблинская, жилые дома","Братиславская","0","1","0","1","10231366","210 956 ₽ за м²"
"946","Квартира-студия","23,7 м²","31","33 эт.","жилой комплекс Лосиноостровский Парк, к1/1","Бульвар Рокоссовского","0","1","0","1","7640121","322 368 ₽ за м²"
"947","2-к. квартира","63,7 м²","2","33 эт.","жилой комплекс Открытый Парк, к1/4","Бульвар Рокоссовского","0","1","0","1","13452803","211 190 ₽ за м²"
"948","2-к. квартира","51,2 м²","19","52 эт.","ул. Минская, стр. 1","Раменки","0","1","0","1","21900000","427 734 ₽ за м²"
"949","2-к. квартира","49,5 м²","11","16 эт.","п. Сосенское, дер. Николо-Хованское, д. 8","Прокшино","0","1","0","1","13396087","270 628 ₽ за м²"
"950","2-к. квартира","63,7 м²","2","33 эт.","жилой комплекс Открытый Парк, к1/4","Бульвар Рокоссовского","0","1","0","1","13452803","211 190 ₽ за м²"
"951","2-к. квартира","51,2 м²","19","52 эт.","ул. Минская, стр. 1","Раменки","0","1","0","1","21900000","427 734 ₽ за м²"
"952","2-к. квартира","49,5 м²","11","16 эт.","п. Сосенское, дер. Николо-Хованское, д. 8","Прокшино","0","1","0","1","13396087","270 628 ₽ за м²"
"953","2-к. квартира","58,5 м²","20","33 эт.","ул. Руставели, ЖК «Руставели 14»","Бутырская","0","1","0","1","16958916","289 896 ₽ за м²"
"954","2-к. квартира","43,9 м²","2","17 эт.","пос. Коммунарка, ул. Александры Монаховой, 90к4","Коммунарка","0","1","0","1","9195820","209 472 ₽ за м²"
"955","Квартира-студия","20,1 м²","25","33 эт.","ш. Алтуфьевское, стр. 2.1","Бибирево","0","1","0","1","5521068","274 680 ₽ за м²"
"956","Квартира-студия","20,1 м²","27","33 эт.","ш. Алтуфьевское, стр. 2.1","Бибирево","0","1","0","1","5553630","276 300 ₽ за м²"
"957","2-к. квартира","72 м²","20","46 эт.","ул. Академика Волгина, вл. 2","Калужская","0","1","0","1","29500000","409 722 ₽ за м²"
"958","1-к. квартира","32,1 м²","10","17 эт.","Сигнальный проезд, вл. 16","Владыкино","0","1","0","1","8665459","269 952 ₽ за м²"
"959","1-к. квартира","42,2 м²","7","33 эт.","Сигнальный проезд, вл. 16","Владыкино","0","1","0","1","11051673","261 888 ₽ за м²"
"960","3-к. квартира","81,6 м²","4","33 эт.","Сигнальный проезд, вл. 16","Владыкино","0","1","0","1","18025113","220 896 ₽ за м²"
"961","1-к. квартира","46,5 м²","5","17 эт.","ул. Николая Химушина, ЖК «Открытый парк»","Бульвар Рокоссовского","0","1","0","1","10508442","225 988 ₽ за м²"
"962","1-к. квартира","42 м²","13","14 эт.","Березовая ал./ул. Сельскохозяйственная/Олонецкая, жилые дома","Ботанический сад","0","1","0","1","14669424","349 272 ₽ за м²"
"963","1-к. квартира","42,9 м²","8","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","0","1","0","1","13655070","318 300 ₽ за м²"
"964","2-к. квартира","66,8 м²","19","32 эт.","Кронштадтский бульвар, корп. 1/3","Водный стадион","0","1","0","1","17537805","262 542 ₽ за м²"
"965","1-к. квартира","46,5 м²","8","17 эт.","ул. Николая Химушина, ЖК «Открытый парк»","Бульвар Рокоссовского","0","1","0","1","10544898","226 772 ₽ за м²"
"966","2-к. квартира","48,7 м²","30","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","0","1","0","1","15384330","315 900 ₽ за м²"
"967","Квартира-студия","24,2 м²","15","24 эт.","ш. Волоколамское, д. 73, корп. 13","Спартак","0","1","0","1","7828651","323 498 ₽ за м²"
"968","1-к. квартира","40,1 м²","28","33 эт.","Сигнальный проезд, вл. 16","Владыкино","0","1","0","1","10420867","259 872 ₽ за м²"
"969","1-к. квартира","30 м²","4","43 эт.","проезд Строительный, стр. 9/9","Тушинская","0","1","0","1","12800000","426 667 ₽ за м²"
"970","2-к. квартира","48,6 м²","10","32 эт.","жилой комплекс Митинский Лес, жилые дома","Пятницкое шоссе","0","1","0","1","10002074","205 804 ₽ за м²"
"971","2-к. квартира","54,2 м²","2","16 эт.","ул. Автозаводская, вл. 23","ЗИЛ","0","1","0","1","18837318","347 552 ₽ за м²"
"972","2-к. квартира","56,2 м²","3","33 эт.","ш. Алтуфьевское, стр. 2.1","Бибирево","0","1","0","1","12134142","215 910 ₽ за м²"
"973","2-к. квартира","69,2 м²","14","14 эт.","ул. Сельскохозяйственная, д. 39","Отрадное","0","1","0","1","20887328","301 840 ₽ за м²"
"974","1-к. квартира","39,9 м²","5","14 эт.","пос. Филимонковское, дер. Середнево, кв-л 25, ЖК «Середневский лес»","рн Филимонковское","0","1","0","1","6773583","169 764 ₽ за м²"
"975","3-к. квартира","89,1 м²","2","25 эт.","рп. Дрожжино, территория Бутово Парк 2, корп. 26","Улица Скобелевская","0","1","0","1","12650774","141 984 ₽ за м²"
"976","2-к. квартира","32,3 м²","15","15 эт.","ул. Кольская, д. 8, корп. 2","Свиблово","0","1","0","1","10221076","316 442 ₽ за м²"
"977","Квартира-студия","20 м²","17","33 эт.","Сигнальный проезд, вл. 16","Владыкино","0","1","0","1","6295680","314 784 ₽ за м²"
"978","2-к. квартира","59,2 м²","3","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","0","1","0","1","15391526","259 992 ₽ за м²"
"979","2-к. квартира","59,7 м²","3","15 эт.","рп. Дрожжино, территория Бутово Парк 2, корп. 26","Улица Скобелевская","0","1","0","1","8843241","148 128 ₽ за м²"
"980","Квартира-студия","27,2 м²","29","33 эт.","Сигнальный проезд, вл. 16","Владыкино","0","1","0","1","7426252","273 024 ₽ за м²"
"981","1-к. квартира","37,4 м²","22","25 эт.","ул. Люблинская, вл. 72, корп. 3","Братиславская","0","1","0","1","9100000","243 316 ₽ за м²"
"982","2-к. квартира","51,5 м²","16","33 эт.","Кавказский б-р, корп. 1.5-1.6","Кантемировская","0","1","0","1","11653523","226 282 ₽ за м²"
"983","2-к. квартира","51,2 м²","22","33 эт.","б-р Кронштадтский, д. 14","Водный стадион","0","1","0","1","15345254","299 712 ₽ за м²"
"984","2-к. квартира","45,9 м²","24","32 эт.","Кронштадтский бульвар, корп. 1/3","Водный стадион","0","1","0","1","14821569","322 910 ₽ за м²"
"985","1-к. квартира","32,5 м²","2","33 эт.","ш. Открытое, вл. 18/1","Бульвар Рокоссовского","0","1","0","1","9007440","277 152 ₽ за м²"
"986","Квартира-студия","25,5 м²","4","33 эт.","жилой комплекс Лосиноостровский Парк, к1/2","Бульвар Рокоссовского","0","1","0","1","7837869","307 367 ₽ за м²"
"987","1-к. квартира","33,1 м²","14","14 эт.","ул. Саларьевская, жилые дома","Саларьево","0","1","0","1","8243356","249 044 ₽ за м²"
"988","3-к. квартира","97 м²","7","12 эт.","жилой комплекс Барклая 6, к2","Парк Победы","0","1","0","1","27610080","284 640 ₽ за м²"
"989","2-к. квартира","43,9 м²","6","17 эт.","жилой комплекс Волжский Парк, корп. 1","Текстильщики","0","1","0","1","10126676","230 676 ₽ за м²"
"990","Квартира-студия","19,7 м²","6","25 эт.","ул. Люблинская, жилые дома","Братиславская","0","1","0","1","5306707","269 376 ₽ за м²"
"991","1-к. квартира","37,6 м²","12","25 эт.","рп. Дрожжино, территория Бутово Парк 2, корп. 26","Улица Скобелевская","0","1","0","1","6432307","171 072 ₽ за м²"
"992","Квартира-студия","23,4 м²","13","15 эт.","рп. Дрожжино, территория Бутово Парк 2, корп. 26","Улица Скобелевская","0","1","0","1","5045414","215 616 ₽ за м²"
"993","Квартира-студия","27,5 м²","16","20 эт.","Ижорская ул., вл. 6","Ховрино","0","1","0","1","7603200","276 480 ₽ за м²"
"994","4-к. квартира","95,8 м²","6","17 эт.","ул. Большая Почтовая, корп. В","Электрозаводская","0","1","0","1","33505696","349 746 ₽ за м²"
"995","1-к. квартира","39,4 м²","2","15 эт.","рп. Дрожжино, территория Бутово Парк 2, корп. 26","Улица Скобелевская","0","1","0","1","6596505","167 424 ₽ за м²"
"996","2-к. квартира","61,5 м²","33","33 эт.","Очаковское ш., вл. 3, 5А","Аминьевская","0","1","0","1","16024154","260 555 ₽ за м²"
"997","2-к. квартира","45,6 м²","5","38 эт.","1-й Дубровский проезд, вл. 78/14","Волгоградский проспект","0","1","0","1","13458507","295 143 ₽ за м²"
"998","2-к. квартира","51,5 м²","27","33 эт.","Кавказский б-р, корп. 1.5-1.6","Кантемировская","0","1","0","1","11724181","227 654 ₽ за м²"
"999","2-к. квартира","48,4 м²","2","33 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","0","1","0","1","12405500","256 312 ₽ за м²"
"1000","2-к. апартаменты","100 м²","2","10 эт.","Нижняя Красносельская ул., 35с50","Бауманская","1","0","0","0","39900000","399 000 ₽ за м²"
"1001","Квартира-студия","10 м²","1","9 эт.","ул. Искры, 13к1","Бабушкинская","1","0","0","0","2850000","285 000 ₽ за м²"
"1002","2-к. квартира","46 м²","2","25 эт.","Зеленоград","","1","0","0","0","5620000","122 174 ₽ за м²"
"1003","1-к. квартира","38,6 м²","4","24 эт.","Дмитровское ш., 71А","Верхние Лихоборы","1","0","0","0","14900000","386 010 ₽ за м²"
"1004","1-к. квартира","38 м²","7","16 эт.","Палехская ул., 19к1","Бабушкинская","1","0","0","0","8500000","223 684 ₽ за м²"
"1005","2-к. квартира","57,6 м²","7","8 эт.","Малая Калужская ул., 12","Шаболовская","1","0","0","0","15000000","260 417 ₽ за м²"
"1006","3-к. квартира","61 м²","2","12 эт.","Москва, Корабельная улица, 17к2","Нагатинский затон","1","0","0","0","26800000","439 344 ₽ за м²"
"1007","2-к. квартира","54,7 м²","11","14 эт.","ул. Татьяны Макаровой, 10","Лухмановская","1","0","0","0","15100000","276 051 ₽ за м²"
"1008","2-к. квартира","60,6 м²","10","17 эт.","Московская область, Ленинский городской округ, рабочий посёлок Дрожжино, Новое шоссе, 8к3","Улица Скобелевская","1","0","0","0","10650000","175 743 ₽ за м²"
"1009","2-к. квартира","58 м²","4","14 эт.","Ялтинская ул., 12","Варшавская","1","0","0","0","19500000","336 207 ₽ за м²"
"1010","3-к. квартира","74 м²","5","16 эт.","Можайское ш., 31к1","Кунцевская","1","0","0","0","17800000","240 541 ₽ за м²"
"1011","2-к. квартира","52,1 м²","3","16 эт.","ул. Маршала Голованова, 14","Марьино","1","0","0","0","12500000","239 923 ₽ за м²"
"1012","1-к. квартира","41 м²","13","14 эт.","Полярная ул., 30к3","Медведково","1","0","0","0","8400000","204 878 ₽ за м²"
"1013","1-к. квартира","40,7 м²","10","13 эт.","Каскадная ул., 20Ак1","Улица Дмитриевского","1","0","0","0","8363000","205 479 ₽ за м²"
"1014","2-к. апартаменты","141,8 м²","81","95 эт.","Пресненская наб., 12","Международная","1","0","0","0","110604000","780 000 ₽ за м²"
"1015","1-к. квартира","35 м²","11","19 эт.","Варшавское ш., 170Ек9","Лесопарковая","1","0","0","0","10900000","311 429 ₽ за м²"
"1016","2-к. квартира","39 м²","1","9 эт.","Москва, Чертановская улица, 53к2","Улица академика Янгеля","1","0","0","0","8600000","220 513 ₽ за м²"
"1017","3-к. квартира","236 м²","6","8 эт.","Хилков пер., 1","Парк культуры","1","0","0","0","250000000","1 059 322 ₽ за м²"
"1018","2-к. квартира","48 м²","10","11 эт.","б-р Андрея Тарковского, 9","Рассказовка","1","0","0","0","14990000","312 292 ₽ за м²"
"1019","Квартира-студия","28 м²","1","5 эт.","Москва, улица Докукина, 7к1","Ботанический сад","1","0","0","0","5600000","200 000 ₽ за м²"
"1020","2-к. квартира","45 м²","8","12 эт.","Печорская ул., 4","Бабушкинская","1","0","0","0","12300000","273 333 ₽ за м²"
"1021","Квартира-студия","10,2 м²","1","9 эт.","ул. Старый Гай, 2к3","Новогиреево","1","0","0","0","2698000","264 510 ₽ за м²"
"1022","5-к. квартира","117,2 м²","15","35 эт.","Шмитовский пр., 39к9","Шелепиха","1","0","0","0","77000000","656 997 ₽ за м²"
"1023","1-к. квартира","34 м²","5","16 эт.","ул. Лескова, 3А","Алтуфьево","1","0","0","0","11000000","323 529 ₽ за м²"
"1024","2-к. квартира","62 м²","4","17 эт.","ул. Лётчика Грицевца, 9","Рассказовка","1","0","0","0","16700000","269 355 ₽ за м²"
"1025","Квартира-студия","15,6 м²","1","8 эт.","ул. Павла Корчагина, 8","ВДНХ","1","0","0","0","3482000","223 205 ₽ за м²"
"1026","1-к. квартира","41,4 м²","3","17 эт.","ул. Александры Монаховой, 109к4","Бунинская аллея","1","0","0","0","11100000","268 116 ₽ за м²"
"1027","Квартира-студия","14,5 м²","1","9 эт.","Москва, поселение Московский, Родниковая улица, 30к1","Саларьево","1","0","0","0","2900000","200 000 ₽ за м²"
"1028","Апартаменты-студия","14 м²","1","5 эт.","Нижняя Первомайская ул., 13","Первомайская","1","0","0","0","2260000","161 429 ₽ за м²"
"1029","1-к. квартира","34,2 м²","11","12 эт.","ул. Грина, 34к1","Бульвар Дмитрия Донского","1","0","0","0","10200000","298 246 ₽ за м²"
"1030","Квартира-студия","10 м²","1","9 эт.","Уральская ул., 12/21","Щёлковская","1","0","0","0","3100000","310 000 ₽ за м²"
"1031","3-к. квартира","74,3 м²","2","17 эт.","Крылатская ул., 31к1","Крылатское","1","0","0","0","20600000","277 254 ₽ за м²"
"1032","2-к. квартира","42,6 м²","1","4 эт.","Новинский б-р, 10с1","Смоленская","1","0","0","0","19150000","449 531 ₽ за м²"
"1033","2-к. квартира","51,3 м²","10","17 эт.","Москва, проспект Защитников Москвы, 9к1","Некрасовка","1","0","0","0","12000000","233 918 ₽ за м²"
"1034","1-к. квартира","32 м²","2","25 эт.","рабочий пос. Дрожжино, Новое ш., 8","Улица Скобелевская","1","0","0","0","6650000","207 813 ₽ за м²"
"1035","1-к. квартира","49 м²","6","9 эт.","Пролетарский пр-т, 16к3","Кантемировская","1","0","0","0","6800000","138 776 ₽ за м²"
"1036","2-к. квартира","51,8 м²","4","9 эт.","Аминьевское ш., 36","Давыдково","1","0","0","0","15000000","289 575 ₽ за м²"
"1037","2-к. квартира","42 м²","3","5 эт.","рабочий пос. Измайлово, 4","Аннино","1","0","0","0","7350000","175 000 ₽ за м²"
"1038","3-к. квартира","76,2 м²","4","11 эт.","ул. 1812 года, 2","Парк Победы","1","0","0","0","30000000","393 701 ₽ за м²"
"1039","3-к. квартира","114 м²","40","40 эт.","Рублёвское ш., 107","Молодёжная","1","0","0","0","46000000","403 509 ₽ за м²"
"1040","1-к. квартира","35,4 м²","5","12 эт.","Москва, Союзный проспект, 13к1","Новогиреево","1","0","0","0","8800000","248 588 ₽ за м²"
"1041","1-к. квартира","31,6 м²","7","9 эт.","Кленовый б-р, 9к2","Кленовый бульвар","1","0","0","0","9200000","291 139 ₽ за м²"
"1042","2-к. квартира","52,3 м²","7","14 эт.","Восточная ул., 11к1","Автозаводская","1","0","0","0","16000000","305 927 ₽ за м²"
"1043","Квартира-студия","10,7 м²","1","9 эт.","Чертановская ул., 58к2","Улица академика Янгеля","1","0","0","0","3100000","289 720 ₽ за м²"
"1044","1-к. квартира","38,8 м²","13","15 эт.","ул. Маршала Савицкого, 6к1","рн Южное Бутово","1","0","0","0","7600000","195 876 ₽ за м²"
"1045","Квартира-студия","15,5 м²","1","9 эт.","Чертановская ул., 66к3","Улица академика Янгеля","1","0","0","0","3499000","225 742 ₽ за м²"
"1046","1-к. квартира","42 м²","7","17 эт.","Люблинская ул., 76к5","Братиславская","1","0","0","0","10300000","245 238 ₽ за м²"
"1047","Апартаменты-студия","19,2 м²","4","4 эт.","ул. Радио, 14с1","Бауманская","1","0","0","0","5990000","311 979 ₽ за м²"
"1048","2-к. квартира","52,8 м²","15","17 эт.","Боровское ш., 29к1","Боровское шоссе","1","0","0","0","12800000","242 424 ₽ за м²"
"1049","1-к. квартира","35 м²","8","12 эт.","Бирюлёвская ул., 58к3","Царицыно","1","0","0","0","10550000","301 429 ₽ за м²"
"1050","3-к. квартира","52 м²","3","9 эт.","Щёлковское ш., 92к2","Щёлковская","1","0","0","0","10500000","201 923 ₽ за м²"
"1051","1-к. квартира","32,7 м²","2","9 эт.","Туристская ул., 10","Сходненская","1","0","0","0","8100000","247 706 ₽ за м²"
"1052","1-к. квартира","35 м²","9","58 эт.","ул. Народного Ополчения, 15с5","Народное Ополчение","1","0","0","0","14900000","425 714 ₽ за м²"
"1053","2-к. апартаменты","74,4 м²","3","4 эт.","2-я Рыбинская ул., 13","Красносельская","1","0","0","0","14700000","197 581 ₽ за м²"
"1054","3-к. квартира","62 м²","2","9 эт.","Профсоюзная ул., 87/49","Беляево","1","0","0","0","14200000","229 032 ₽ за м²"
"1055","1-к. квартира","38,5 м²","18","18 эт.","Москва, улица Марьинский Парк, 23к3, подъезд 1","Люблино","1","0","0","0","9300000","241 558 ₽ за м²"
"1056","1-к. квартира","32,6 м²","9","9 эт.","Шереметьевская ул., 25","Марьина Роща","1","0","0","0","9500000","291 411 ₽ за м²"
"1057","3-к. квартира","64 м²","7","9 эт.","Елецкая ул., 35к2","Зябликово","1","0","0","0","12500000","195 313 ₽ за м²"
